검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
L43,미생물특수,L4326,Adenovirus IFA,Negative,,Endotracheal Aspirate,이미지,ETA용기,면봉검체는 환부의 세포를 많이 취하여 IFA용 슬라이드의 구멍에 부드럽게 펴 바른다. [IFA용 슬라이드는 검사실에서 불출],월-금,오후 1시,1~2일,직접 면역 형광 염색,폐렴 등 호흡기 감염을 주로 일으키는 혈청형의 adenovirus 항원을 검출. 대변 검체의 경우는 Adenovirus antigen 검사로 의뢰할 것(검출되는 혈청형이 다름),,"형광염색, IFA, DFA",예,시행중
L43,미생물특수,L4322,Adenovirus antigen,Negative,,Stool,이미지,대변통,,월-금 / 토-일,오후 5시 / 오후 3시,1~2일 / 2~3일,ELISA,바이러스성 설사,월-금 [오전9시] 접수된 검체는 당일 보고,"Adenovirus, 아데노, 바이러스, 설사",예,시행중
L22,혈액응고,L2204,aPTT(activated partial thromboplastin time),27.1 ~37.8 sec,sec,Citrate blood 2.7mL,이미지,"vacutainer(Sodium citrate, 현재 2.7 mL 공급)",환자의 Hct 이 55% 이상인 경우: 응고검사실에 연락하여 항응고제농도가 조절된 채혈관을 받아가서 채혈해야 함,매일,24시간 검사,2시간(본원) / 1시간(암병원),Turbidimetry,"activated partial thromboplastin time (aPTT)은 intrinsic pathway 를 평가하는 screening test이다. aPTT는 factor VII, XIII을 제외한 모든 인자들이 관여하는 검사이다. PT 검사와 마찬가지로 경도의 factor deficiency 를 가지고 있는 환자에서는 정상으로 나올 수 있다. 예를 들어서 factor VIII 이 35% 이하로 감소해야 비로서 aPTT 의 이상을 보이게 된다. Isolated aPTT prologation (BT & PT normal)을 보이는 경우는 intrinsic factor 의 deficiency 가 있는 경우, circulating anticoagulant 가 있는 경우가 있다. 이 두 가지를 감별하기 위해서는 aPTT mixing test 를 실시해야 한다.","Unfractionated Heparin 치료모니터링을 위해 사용하는 aPTT의 치료적 범위 : aPTT(sec) 64 ~ 85 *항응고제 치료 모니터링 검사 가이드 *Warfarin제제/PT(INR) *Unfractionated heparin/APTT, Anti-Xa UFH *Low molecular weigt heparin/Anti-Xa LMWH",,예,시행중
L22,혈액응고,L2265,D-dimer assay (정량),0.04~0.49ug/mL (FEU),ug/mL (FEU),Citrate blood 2.7mL,이미지,"vacutainer(Sodium citrate, 현재 2.7 mL 공급)",,매일,24시간(본원) / 월-금 17시(암병원),4시간(본원) / 1시간(암병원),Immunoturbidimetry,D-dimer는 fibrin degradation product에 매우 특이적인 검사이다. D-dimer는 cross-linked fibrin이 plasmin에 의해 분해될 경우에만 생긴다. 그러므로 이 검사는 DIC의 진단에 매우 유용하다. 최근에는 D-dimer가 hypercoagulable state의 지표로 인식되고 있으며 특히 coronary artery disease(CAD)의 위험인자로 인정받고 있다. D-dimer의 측정에 예전에는 Latex agglutination 법으로 검사하였으나 최근에 ELISA법으로 바뀌면서 더욱 예민해졌다.,,,예,시행중
L43,미생물특수,L4338,Influenza A/B virus 신속항원검사,Negative,,"Nasopharyngeal Swab, Endotracheal aspirate",이미지,"Virus 수송배지, ETA 용기",,월-금 / 토-일,오후4시 / 오후3시,당일 / 당일,Immuno-chromatography Assay,Influenza virus 감염을 선별,,"Influenza virus, 신속항원검사, 인플루엔자 항원",예,시행중
L43,미생물특수,L4341,Legionella urinary antigen test,Negative,,urine,이미지,"urine cup, conicaltube 15mL",,월-금/ 토-일,오후 4시 / 오후 3시,당일 / 1~2일,Immunochromatography assay,소변에서 L. pneumophila serogroup 1 의 항원을 검출하여 폐렴을 감별 진단,,"Legionella,레지오넬라 항원",예,시행중
L71,외주검사,L74903,(1-3)-β-D-Glucan Quantitative Test,남 년도별 연령 : 0~999 참고치 : ~<60.0 여 년도별 연령 : 0~999 참고치 : ~<60.0,pg/mL,Serum only,이미지,14. Serum-4.0,분리 후 SST 그대로 냉동 (cap open 금지),월~금,검사 시행일 전날 오후 3시,3일,Colorimetry,"(1-3)-β-D-Glucan 정량검사는 주요 진균 감염인 Candida spp., Aspergillus spp.를 포함하여 Fusarium, Trichosporon, Pneumocystis 등 다양한 병원성 진균 감염을 진단 할 수 있다. 또한 혈액이나 조직에 진균 침입시 탐식 세포에 의해 탐식되는 과정에서 유리되는 β-D-Glucan을 functional assay로 측정하여 침습성 진균 감염 진단에 유용하며 이를 통해 조기 진단과 항진균제 치료 추적검사에 활용할 수 있다.",[참고치변경 2019.1.14~] Negative : <60.0 Intermediate : 60.0~79.9 Positive : ≥80.0,,예,시행중
L72,분당의뢰검사,L38020,(검진용)NST(Hunter),,,Blood Spot,이미지,13. Blood spot,,목,검사 시행일 전날 오전 11시,21일,LC-MS/MS,선천성 대사이상 질환을 신생아기에 스크리닝하여 조기 치료 및 예장할 수 있는 검사,2018.05.08 처방오픈,,예,시행중
L72,분당의뢰검사,L38022,"(검진용)NST(LSD, Lysosomal Storage Disease)",,,Blood spot,이미지,13. Blood spot,,목,검사 시행일 전날 오전 11시,21일,LC-MA/MS,선천성 대사이상 질환을 신생아기에 스크리닝하여 조기 치료 및 예장할 수 있는 검사,2018.05.08 처방오픈,,예,시행중
L71,외주검사,L7101,"1,25(OH)2 vitamin D3(외주)",남 년도별 연령 : 0~999 참고치 : 19.6~54.3 여 년도별 연령 : 0~999 참고치 : 19.6~54.3,pg/ml,Serum 4 ml,이미지,14. Serum-4.0,냉장운송 원심분리후 냉동,수,검사 시행일 전날 오후 3시,5일,RIA,"Vitamin D3 는 전구물질 7-dehydrocholesterol 의 자외선 조사에 의해 생성되어 간에서 25-OH Vitamin D3 로 되고 다시 신장에서 1,25-(OH)2 Vitamin D3 로 되며 이것은 소장과 골을 표적기관으로하는 Ca 조절 대사 호르몬으로 작용하여 장이나 골로부터 Ca, 무기인의 흡수를 높이고 신장으로 부터 무기인의 배설을 저하시 켜서 혈중의 Ca, 무기인을 증가시키는 작용을 하며 항구루병 인자로 알려져 있다. 일차성 부갑상선 기능항 진증, tumoral calcinosis 에서 증가하고, 만성신부전증, 부갑상선기능저하증, Vitamin D 의존성 구루병에 서 저하된다. 구루병에 서 저하된다.",녹십자의뢰 외주검사 (☏.578-0131),,예,시행중
